class,nm_mun,descricao,id,area_km2
40.0,Torres,Arroz,49,30.1612
40.0,Tramandaí,Arroz,50,6.2265
40.0,Três Cachoeiras,Arroz,51,4.523
40.0,Xangri-lá,Arroz,52,3.1337
23.0,Arroio do Sal,"Praia, Duna e Areal",53,3.8879
23.0,Balneário Pinhal,"Praia, Duna e Areal",54,5.7404
23.0,Capão da Canoa,"Praia, Duna e Areal",55,2.2475
23.0,Cidreira,"Praia, Duna e Areal",56,25.426
23.0,Imbé,"Praia, Duna e Areal",57,2.0796
23.0,Osório,"Praia, Duna e Areal",58,1.927
23.0,Palmares do Sul,"Praia, Duna e Areal",59,55.4653
23.0,Terra de Areia,"Praia, Duna e Areal",60,0.2587
23.0,Torres,"Praia, Duna e Areal",61,3.951
23.0,Tramandaí,"Praia, Duna e Areal",62,10.4241
23.0,Xangri-lá,"Praia, Duna e Areal",63,0.9177
24.0,Arroio do Sal,Área Urbanizada,64,15.7146
24.0,Balneário Pinhal,Área Urbanizada,65,9.7795
24.0,Capão da Canoa,Área Urbanizada,66,20.903
24.0,Capivari do Sul,Área Urbanizada,67,0.9359
24.0,Caraá,Área Urbanizada,68,0.0623
24.0,Cidreira,Área Urbanizada,69,9.3633
24.0,Dom Pedro de Alcântara,Área Urbanizada,70,0.2329
24.0,Imbé,Área Urbanizada,71,17.9398
24.0,Itati,Área Urbanizada,72,0.0382
24.0,Maquiné,Área Urbanizada,73,0.519
24.0,Morrinhos do Sul,Área Urbanizada,74,0.1024
24.0,Osório,Área Urbanizada,75,14.9998
24.0,Palmares do Sul,Área Urbanizada,76,8.7444
24.0,Terra de Areia,Área Urbanizada,77,3.3996
24.0,Torres,Área Urbanizada,78,15.355
24.0,Tramandaí,Área Urbanizada,79,21.0744
24.0,Três Cachoeiras,Área Urbanizada,80,1.7267
24.0,Três Forquilhas,Área Urbanizada,81,0.1303
24.0,Xangri-lá,Área Urbanizada,82,14.9001
49.0,Arroio do Sal,Restinga Arbórea,83,3.8132
49.0,Balneário Pinhal,Restinga Arbórea,84,2.4487
49.0,Capão da Canoa,Restinga Arbórea,85,3.9793
49.0,Capivari do Sul,Restinga Arbórea,86,11.9099
49.0,Cidreira,Restinga Arbórea,87,9.714
49.0,Dom Pedro de Alcântara,Restinga Arbórea,88,4.3073
49.0,Imbé,Restinga Arbórea,89,0.0871
49.0,Itati,Restinga Arbórea,90,0.2056
49.0,Mampituba,Restinga Arbórea,91,0.0726
49.0,Maquiné,Restinga Arbórea,92,3.8412
49.0,Morrinhos do Sul,Restinga Arbórea,93,5.3516
49.0,Osório,Restinga Arbórea,94,24.7269
49.0,Palmares do Sul,Restinga Arbórea,95,28.9368
49.0,Terra de Areia,Restinga Arbórea,96,8.3223
49.0,Torres,Restinga Arbórea,97,6.9614
49.0,Tramandaí,Restinga Arbórea,98,8.4268
49.0,Três Cachoeiras,Restinga Arbórea,99,2.1442
49.0,Três Forquilhas,Restinga Arbórea,100,1.2507
49.0,Xangri-lá,Restinga Arbórea,101,2.373
11.0,Arroio do Sal,Campo Alagado e Área Pantanosa,102,1.5001
11.0,Balneário Pinhal,Campo Alagado e Área Pantanosa,103,3.5912
11.0,Capão da Canoa,Campo Alagado e Área Pantanosa,104,2.8546
11.0,Capivari do Sul,Campo Alagado e Área Pantanosa,105,15.4415
11.0,Cidreira,Campo Alagado e Área Pantanosa,106,10.7041
11.0,Dom Pedro de Alcântara,Campo Alagado e Área Pantanosa,107,2.9149
11.0,Imbé,Campo Alagado e Área Pantanosa,108,9.4107
11.0,Maquiné,Campo Alagado e Área Pantanosa,109,18.4631
11.0,Morrinhos do Sul,Campo Alagado e Área Pantanosa,110,2.3008
11.0,Osório,Campo Alagado e Área Pantanosa,111,49.385
11.0,Palmares do Sul,Campo Alagado e Área Pantanosa,112,61.0799
11.0,Terra de Areia,Campo Alagado e Área Pantanosa,113,1.8119
11.0,Torres,Campo Alagado e Área Pantanosa,114,3.3315
11.0,Tramandaí,Campo Alagado e Área Pantanosa,115,7.8871
11.0,Três Cachoeiras,Campo Alagado e Área Pantanosa,116,0.0125
11.0,Xangri-lá,Campo Alagado e Área Pantanosa,117,11.5231
